"Basel Annex VIII, II or IX ",Y Code,National Code,"
Type of waste ","
Hazardous characteristics","Amount exported 
 (use dots for decimals, e.g. 20.15)","
Countries of  transit",Country of destination,"
Final disposal operation",Recovery operation,Exporting_Country
,,100308*,Salt slags   ,H4.3,177.36,,DE,,R5,Poland
A3020,Y8,"130205*,130208*,130206*,130307*",,H12,454.48,,DE,,R9,Poland
A1030,Y24,060403*,,"H8,H11,H12",52.36,,DE,D12,,Poland
,,100308*,Salt slags   ,H4.3,741.7,,DE,,R5,Poland
A1050,Y17,"110109*,190813*,190205*",,"H11,H12",529.964,,DE,,R4,Poland
,,100308*,Salt slags   ,H4.3,254.24,,DE,,R5,Poland
,Y18,100308*,Salt slags   ,H4.3,705.46,,DE,,R5,Poland
A1030,Y29,170901*,,H8,62.46,,DE,D12,,Poland
A3020,Y8,"130205*,130208*,130206*,130110*",,H12,7976.6,,DE,,R9,Poland
,Y45,100308*,Salt slags   ,,101.54,"DE,LU",FR,,R5,Poland
,Y45,100308*,Salt slags   ,,960.38,DE,FR,,R5,Poland
,Y5,170204*,Wooden sleepers,H12,439.72,DE,GB,,R1,Poland
A3190,Y11,190117*,,H3,169.02,"DE,NL",GB,,R9,Poland
A2030,,160807*,Spent catalysts,H11,3.9368,,GB,,R4,Poland
A2030,,160802*,Spent catalysts,H4.2,315.48,DE,NL,,R8,Poland
A4070,Y12,080111*,,,0.09,DE,NL,,R4,Poland
A4050,"Y7,Y17,Y33",110198*,,H6.1,4.23,DE,NL,,R4,Poland
A4130,Y12,150110*,,"H3,H4.1,H12",1.97,DE,NL,,R4,Poland
A4070,"Y12,Y17",150202*,,"H4.1,H12",4.94,DE,NL,,R4,Poland
A2030,,"160801,160807*",Spent catalysts,H4.1,61.782,DE,US ,,R8,Poland
A4130,,150110*,Packaging containing residues of or contaminated by dangerous substances,H12,1.3545,"DE,BE,NL,FR,GB",US ,,R8,Poland
A4030,Y4,020108,Resíduos agroquímicos contendo substâncias perigosas (pesticidas),,109.24,"ES,FR",BE,D10,,Portugal
A3050,Y13,070107,"Resíduos de destilação e resíduos de reacção halogenados_x000D_
",,103.52,NL,DE,D10,,Portugal
A3050,Y13,070108,resíduos de destilação e resíduos de reação,,17.86,NL,BE,D10,,Portugal
A4100,Y23,100207,,,36521.17,,ES,,R4,Portugal
,,100308,Escórias salinas da produção secundária,H4.3,1108.04,,ES,,R4,Portugal
A1020,Y23,101003,escórias do forno,,126.24,,ES,,R4,Portugal
A1010,Y11,101011,Outras partículas contendo substâncias perigosas,,245.28,,ES,,R4,Portugal
A1050,Y17,110109,lamas e bolo de filtração contendo substancias perigosas,,225.788,"ES,FR",DE,,R4,Portugal
A3020,Y3,130204,,,23.54,NL,BE,D10,,Portugal
A3020,Y8,130204,óleos minerais clorados ,,68.4,"ES,FR",BE,D10,,Portugal
A3020,Y8,130208,"óleos de motores, transmissões e lubrificação",,778.09,,ES,,R9,Portugal
,Y45,140601,"clorofluorocarbonetos, HCFC, HFC",,39.414,ES,FR,D10,,Portugal
A3140,Y12,140603,solventes e misturas de solventes,,136.4,,ES,,R2,Portugal
,Y42,140603,solventes e misturas de solventes,,35.567,,ES,,R2,Portugal
A4130,Y4,150110,RESÍDUOS DE EMBALAGENS CONTENDO OU CONTAMINADAS POR RESÍDUOS DE SUBSTÂNCIAS PERIGOSAS,,214.539,,ES,,"R3,R4",Portugal
A4130,Y15,150111,"Embalagens de metal, incluindo recipientes vazios sob pressão, com uma matriz porosa sólida perigosa - Aerossóis",,19.86,NL,BE,D10,,Portugal
A3180,Y10,160209,"Transformadores e condensadores contendo_x000D_
PCB",,24.817,,ES,,"R12,R4",Portugal
,"Y20,Y26,Y29,Y31",160213,"Equipamentos fora de uso, contendo componentes perigosos não abrangidos em 16 02 09 a 16 02 12",,67.646,ES,FR,,"R4,R5,R12",Portugal
A2010,Y31,160215,,,121.4,"ES,FR",DE,,"R12,R5",Portugal
A4140,Y18,160504,"gases em recipientes sob pressão (incluindo halons), contendo substâncias perigosas",,7.022,"BE,ES,FR",DE,D10,,Portugal
A4010,Y2,160506,"Produtos químicos de laboratório, contendo ou compostos por substâncias perigosas, incluindo misturas de produtos químicos de laboratório (LER – 16 05 06*)",,77.08,,BE,D10,,Portugal
A1160,Y31,160601,acumuladores de chumbo,,10956.235,,ES,,R4,Portugal
A2030,,160802,catalisadores usados,,600.023,ES,FR,,R4,Portugal
A1170,"Y34,Y35",200133,"Pilhas e acumuladores abrangidos em 16 06 01, 16 06 02 ou 16 06 03 e pilhas e acumuladores não triados contendo desses acumuladores ou pilhas",,113.376,,ES,,"R12,R4",Portugal
A1170,"Y26,Y29,Y31",200133,"pilhas e acumuladores abrangidos em 16 06 01, 16 06 02 ou 16 06 03 e pilhas e acumuladores, não triados, contendo desses acumuladores ou pilhas",,123.13,,ES,,"R12,R4",Portugal
A3150,Y6,"070103,070503,140602","solventes, líquidos de lavagem e licores-mãe halogenados",,76.485,NL,BE,D10,,Portugal
A4010,Y3,"070513,200131,200132",Resíduos farmacêuticos,,674.483,NL,BE,D10,,Portugal
A4010,Y3,"070513,200131,200132",Resíduos farmacêuticos,,300.582,"ES,FR",BE,D10,,Portugal
A1180,Y10,"130101,160209",Resíduos contendo PCB's (condensadores e óleos removidos de equipamentos fora de uso),,59.738,"ES,FR",BE,D10,,Portugal
A4130,Y18,"140601,150111,160504",Gases e recipientes sob pressão contendo substâncias perigosas,,14.7,,ES,,"R12,R4",Portugal
A1180,Y31,"160213,200135",CRT - Tubos de Raios Catódicos /TV's e Monitores,,277.2,,ES,,"R12,R5",Portugal
A3020,Y8,12 01 07*; 12 01 10*; 13 01 10*; 13 01 11*; 13 01 13*; 13 02 05*; 13 02 06*; 13 02 08*; 13 03 07*; 13 03 08*; 13 03 10*; 13 04 01*; 13 05 06*,waste mineral oils,H3,1852.09,,BG,,R9,Romania
A1120,Y17,12 01 14*,machining sludges containing dangerous substances,H11,10.632,"CZ,HU,SK",DE,,R4,Romania
A1030,Y29,20 01 21*,used fluorescent tubes containing mercury,H12,92.357,,HU,,"R4,R5",Romania
A1170,Y26,16 06 02*,used Ni-Cd batteries ,"H8,H12",25.527,"AT,HU",DE,,R4,Romania
A2010,Y31,16 02 15*,funnel glass from CRT,H12,23.0,"CZ,HU,SK",DE,,R5,Romania
A2010,Y31,19 12 11*,funnel glass from CRT,H12,644.581,"AT,CZ,HU",DE,,R5,Romania
A2010,Y31,19 12 11*,funnel glass from CRT,H12,64.68,"CZ,HU,SK",DE,,R5,Romania
,Y45,"16 02 11*, 20 01 23*","discarded equipment containing HCFC, HFC ",H13,783.92,,HU,,R12,Romania
,Y45,"16 02 11*, 20 01 23*",used not treated fridges containing HCFC,H12,46.38,"HU,SK",PL,,R12,Romania
A1020,Y31,10 04 01*,lead slag,H12,288.21,,BG,,R4,Romania
A1160,Y31,16 06 01*,waste lead acid batteeries,H8,15602.947,,BG,,R4,Romania
,Y18,10 03 08*,salty slug fronm alluminium inedustry,"H8,H10",237.08,"CZ,HU,SK",DE,,R5,Romania
A1020,Y31,"06 04 05*, 16 03 03*",expired solder paste containg lead,"H11,H12",13.863,"FR,HU,IT,SI",ES,,R4,Romania
A1020,Y31,10 10 09*,flue gas dust containing hazardous substances,H12,435.72,,BG,,R4,Romania
A1010,Y31,10 04 02*,solder dross,H12,15.5919,,HU,,R12,Romania
A2030,,16 08 02*,spent catalyst,H4.2,154.91,"HU,IT,SK",FR,,R8,Romania
A3050,Y13,16 03 03*,inorganic waste containing hazardous substances (adhesives) ,H12,1.0,"AT,HU",DE,,"R4,R13",Romania
A1130,Y22,11 01 05*,spent itching sollution containg disolved copper,H8,432.84,"AT,HU",DE,,R4,Romania
A1050,Y17,11 01 09*,sludge and filter cake contain dangerous substances,H12,39.025,"CZ,HU,SK",DE,,R4,Romania
,Y_,10 08 11*,tin slug,,12.814,"FR,HU,IT,SI",EE,,R4,Romania
,Y_,02 01 03*,tobaco stems,,3692.4,,BE,,R13,Romania
,Y_,10 08 09*,tin slug,,14.62,"FR,HU,IT,SI",EE,,R4,Romania
A1010,"Y31,Y34",Not applicable,Used lead-acid batteries,,183.0,JM,KR,,R4,Saint Lucia
A3020,,13 01 11*,synthetichydraulic oils,,69.412,"HR,SI",AT,D10,,Serbia
A3020,,15 01 10*,packaging containing residues of or contaminated by dangerous substances,,3.261,"HR,SI",AT,D10,,Serbia
A3020,,15 02 02*,"absorbents, filter materials (including oil filters not otherwise specified), wiping cloths, protective clothing contaminated by dangerous substances",,8.876,"HR,SI",AT,D10,,Serbia
A3020,,16 01 07*,oil filters,,5.351,"HR,SI",AT,D10,,Serbia
A4010,,07 05 13*,solid wastes containing dangerous substances,,182.913,"HR,SI",AT,D10,,Serbia
A4010,,15 01 10*,packaging containing residues of or contaminated by dangerous substances,,8.205,"HR,SI",AT,D10,,Serbia
A4010,,16 03 03*,inorganic wastes containing dangerous substances,,0.102,"HR,SI",AT,D10,,Serbia
A4010,,16 03 05*,organic wastes containing dangerous substances,,0.119,"HR,SI",AT,D10,,Serbia
A4010,,18 01 08*,cytotoxic and cytostatic medicines,,3.424,"HR,SI",AT,D10,,Serbia
A4010,,18 02 07*,cytotoxic and cytostatic medicines,,0.11,"HR,SI",AT,D10,,Serbia
A4010,"Y2,Y3",16 03 05*,organic wastes containing dangerous substances,,25.777,"HR,SI",AT,D10,,Serbia
A4010,"Y2,Y3",18 01 08*,cytotoxic and cytostatic medicines,,59.11,"HR,SI",AT,D10,,Serbia
A4010,"Y2,Y3",07 05 13*,solid wastes containing dangerous substances,,13.45,"HR,SI",AT,D10,,Serbia
A4030,,16 03 05*,organic wastes containing dangerous substances,,15.105,"HR,SI",AT,D10,,Serbia
A4030,,20 01 19*,pesticides,,0.335,"HR,SI",AT,D10,,Serbia
A4030,Y4,16 03 05*,organic wastes containing dangerous substances,,11.19,"HR,SI",AT,D10,,Serbia
A4070,Y12,08 01 13*,sludges from paint or varnish containing organic solvents or other dangerous substances,,129.02,"HR,SI",AT,D10,,Serbia
A4070,Y12,08 01 13*,sludges from paint or varnish containing organic solvents or other dangerous substances,,41.44,"HR,SI",AT,D10,,Serbia
A4070,Y12,08 01 17*,wastes from paint or varnish removal containing organic solvents or other dangerous substances,,68.66,"HR,SI",AT,D10,,Serbia
A4070,Y12,08 01 17*,wastes from paint or varnish removal containing organic solvents or other dangerous substances,,4.18,"HR,SI",AT,D10,,Serbia
A4140,,16 03 05*,organic wastes containing dangerous substances,,14.536,"HR,SI",AT,D10,,Serbia
A4140,,16 05 06*,"laboratory chemicals, consisting of or containing dangerous substances, including mixtures of laboratory chemicals",,7.438,"HR,SI",AT,D10,,Serbia
A4140,,16 05 08*,discarded organic chemicals consisting of or containing dangerous substances,,1.986,"HR,SI",AT,D10,,Serbia
A4140,"Y14,Y2",16 05 06*,"laboratory chemicals, consisting of or containing dangerous substances, including mixtures of laboratory chemicals",,0.33,"HR,SI",AT,D10,,Serbia
A4140,"Y14,Y2",18 01 06*,chemicals consisting of or containing dangerous substances,,8.4,"HR,SI",AT,D10,,Serbia
A4140,"Y2,Y6,Y18",16 05 06*,"laboratory chemicals, consisting of or containing dangerous substances, including mixtures of laboratory chemicals",,6.16,"HR,SI",AT,D10,,Serbia
A4140,Y40,16 03 05*,organic wastes containing dangerous substances,,1.75,"HR,SI",AT,D10,,Serbia
A4140,Y40,16 05 06*,"laboratory chemicals, consisting of or containing dangerous substances, including mixtures of laboratory chemicals",,6.63,"HR,SI",AT,D10,,Serbia
A4140,Y40,18 01 06*,chemicals consisting of or containing dangerous substances,,30.96,"HR,SI",AT,D10,,Serbia
A1060,"Y17,Y34",11 01 05*,pickling acids,,669.66,HU,AT,,R4,Serbia
A1020,Y31,10 04 01*,slags from primary and secondary production,,530.14,,BG,,R4,Serbia
A3020,Y8,13 01 10*,mineral based non-chlorinated hydraulic oils,,21.917,,BG,,R9,Serbia
A3020,Y8,13 01 13*,other hydraulicoils,,5.542,,BG,,R9,Serbia
A3020,Y8,13 02 05*,"mineral-based non-chlorinated engine, gear and lubricating oils",,116.464,,BG,,R9,Serbia
A3020,Y8,13 02 05*,"mineral-based non-chlorinated engine, gear and lubricating oils",,404.98,,BG,,R9,Serbia
A3020,Y8,13 02 08*,"other engine, gear and lubricating oils",,80.386,,BG,,R9,Serbia
A3020,Y8,13 03 07*,mineral-based non-chlorinated insulating and heat transmission oils,,1.1,,BG,,R9,Serbia
A3020,Y8,13 03 10*,other insulating and heat transmission oils,,1.481,,BG,,R9,Serbia
A3020,Y8,13 08 99*,wastes not otherwise specified related to oil wastes not otherwise specified,,22.37,,BG,,R9,Serbia
A3020,Y8,19 02 07*,oil and concentrates from separation,,28.38,,BG,,R9,Serbia
A3180,,13 03 01*,insulating or heat transmission oils containing PCBs,,55.948,"AT,DE,HR,SI",CH,D10,,Serbia
A3180,,15 01 10*,packaging containing residues of or contaminated by dangerous substances,,3.086,"AT,DE,HR,SI",CH,D10,,Serbia
A3180,,15 02 02*,"absorbents, filter materials (including oil filters not otherwise specified), wiping cloths, protective clothing contaminated by dangerous substances",,4.606,"AT,DE,HR,SI",CH,D10,,Serbia
A4140,,20 01 17*,photochemicals,,2.805,"AT,DE,HR,SI",CH,D10,,Serbia
A4140,,16 05 07*,discarded inorganic chemicals consisting of or containing dangerous substances,,6.583,"AT,DE,HR,SI",CH,D10,,Serbia
A4140,,16 05 08*,discarded organic chemicals consisting of or containing dangerous substances,,13.962,"AT,DE,HR,SI",CH,D10,,Serbia
A4140,,16 05 06*,"laboratory chemicals, consisting of or containing dangerous substances, including mixtures of laboratory chemicals",,10.694,"AT,DE,HR,SI",CH,D10,,Serbia
A4140,,07 01 07*,halogenated still bottoms and reaction residues,,23.83,"AT,DE,HR,SI",CH,D10,,Serbia
A4140,,07 01 08*,other still bottoms and reaction residues,,6.63,"AT,DE,HR,SI",CH,D10,,Serbia
A4140,,07 07 08*,other still bottoms and reaction residues,,2.1,"AT,DE,HR,SI",CH,D10,,Serbia
A4140,,15 01 10*,packaging containing residues of or contaminated by dangerous substances,,5.296,"AT,DE,HR,SI",CH,D10,,Serbia
A4140,,16 03 03*,inorganic wastes containing dangerous substances,,6.088,"AT,DE,HR,SI",CH,D10,,Serbia
A4140,,16 03 05*,organic wastes containing dangerous substances,,70.796,"AT,DE,HR,SI",CH,D10,,Serbia
A1020,"Y31,Y22,Y23",10 04 02*,dross and skimmings from primary and secondary production,,1694.33,"AT,HR,SI",DE,,R4,Serbia
A1030,Y29,06 04 04*,wastes containing mercury,,0.011,"AT,HR,SI",DE,D9,,Serbia
A1030,Y29,16 02 15*,hazardous components removed from discarded equipment,,0.555,"AT,HR,SI",DE,D9,,Serbia
A1030,Y29,20 01 21*,fluorescent tubes and other mercury-containing waste,,0.211,"AT,HR,SI",DE,D9,,Serbia
A1170,"Y23,Y26,Y29",20 01 33*,"batteries and accumulators included in 16 06 01, 16 06 02 or 16 06 03 and unsorted batteries and accumulators containing these batteries",,17.173,"AT,HR,SI",DE,,R12,Serbia
A1180,Y10,16 02 15*,hazardous components removed from discarded equipment,,25.157,"AT,HR,SI",DE,D10,,Serbia
A2010,"Y18,Y31",16 02 15*,hazardous components removed from discarded equipment,,1781.015,"AT,HR,SI",DE,,R5,Serbia
A2010,Y40,16 02 15*,hazardous components removed from discarded equipment,,816.75,"AT,HR,SI",DE,,R5,Serbia
A3150,"Y41,Y18",07 01 03*,"organichalogenated solvents, washing liquids and mother liquors",,19.2,"AT,HR,SI",DE,,R2,Serbia
A3150,"Y41,Y18",14 06 02*,other halogenated solvents and solvent mixtures,,0.52,"AT,HR,SI",DE,,R2,Serbia
A4070,Y12,08 01 21*,waste paint or varnish remover,,1.054,"AT,HR,SI",DE,D10,,Serbia
A4070,Y12,16 03 05*,organic wastes containing dangerous substances,,0.308,"AT,HR,SI",DE,D10,,Serbia
A4070,Y12,08 01 17*,wastes from paint or varnish removal containing organic solvents or other dangerous substances,,4.653,"AT,HR,SI",DE,D10,,Serbia
A4070,,08 01 11*,waste paint and varnish containing organic solvents or other dangerous substances,,44.244,"AT,HR,SI",DE,D10,,Serbia
A4070,,08 01 13*,sludges from paint or varnish containing organic solvents or other dangerous substances,,13.676,"AT,HR,SI",DE,D10,,Serbia
A4070,,08 01 17*,wastes from paint or varnish removal containing organic solvents or other dangerous substances,,16.98,"AT,HR,SI",DE,D10,,Serbia
A4070,Y12,08 01 11*,waste paint and varnish containing organic solvents or other dangerous substances,,0.375,"AT,HR,SI",DE,D10,,Serbia
A4090,Y34,06 01 01*,sulphuric acid and sulphurous acid,,229.02,"AT,HR,SI",DE,,R6,Serbia
A4090,Y34,06 01 04*,phosphoricand phosphorous acid,,120.4,"AT,HU",DE,D9,,Serbia
A4010,Y2,16 03 05*,organic wastes containing dangerous substances,,327.14,"CZ,HU,RO,SK",DE,D10,,Serbia
A1170,"Y26,Y29,Y31",20 01 33*,"batteries and accumulators included in 16 06 01, 16 06 02 or 16 06 03 and unsorted batteries and accumulators containing these batteries",,5.736,"HR,IT,SI",FR,,R4,Serbia
A4090,Y34,11 01 05*,pickling acids,,234.18,MK,GR,,R5,Serbia
A1020,Y31,19 12 11*,other wastes (including mixtures of materials) from mechanical treatment of waste containing dangerous substances,,46.664,,HR,,R12,Serbia
A1160,Y31,16 06 01*,lead batteries,,793.889,,HR,,R13,Serbia
A1160,Y31,16 06 01*,lead batteries,,1745.4585,,HR,,R4,Serbia
A1160,Y31,16 06 01*,lead batteries,,777.382,,MK,,R4,Serbia
A1160,"Y31,Y34",16 06 01*,lead batteries,,941.236,,MK,,R4,Serbia
A2030,"Y22,Y41",16 08 07*,spent catalysts contaminated with dangerous substances,,5.358,,RO,,R2,Serbia
A2030,"Y26,Y40,Y22",16 08 06*,spent liquids used as catalysts,,56.709,,RO,,R2,Serbia
A3180,,16 02 09*,transformers and capacitors containing PCBs,,123.223,,RO,,R13,Serbia
,Y35,,Calcium Carbide Sludge (Calcium Hydroxide Sludge),"H4.3,H8",4264.3,,MY,,R4,Singapore
A1160,Y31,,"Drained Battery Scrap ""Rains""",H11,2224.174,,KR,,R4,Singapore
A1160,Y31,,"Waste Lead Acid Batteries (Lead Sulphide, Polypropylene)",H11,49.085,,KR,,R4,Singapore
A1160,Y31,,"Lead Acid Batteries, Lead Compounds",H11,2134.535,,KR,,R4,Singapore
A1160,Y31,,Used/Waste Lead Acid Battery / Lead Acid Battery Scrap,H11,10426.353,,KR,,R4,Singapore
A1160,Y31,,"Lead Acid Battery Scrap ""Rains""",H11,1271.16,,IN,,R4,Singapore
"A1020,A1180",Y26,,Used Nickel Cadmium Batteries,"H8,H11",54.54,,KR,,R4,Singapore
A2030,Y9,,Spent Catalyst,H4.2,4.698,"LB,MT,IT",FR,,R8,Singapore
A2030,Y2,,Spent Nickel Catalyst,H4.2,38.0,"EG,GB,NL",DE,,R4,Singapore
A1020,Y31,,Tin Dust,H11,57.531,,BE,,R4,Singapore
,Y22,,Metallic Waste,H11,19.974,,KR,,R4,Singapore
A1170,Y26,,Lithium Metallic Oxide Powder,H13,156.943,,KR,,R4,Singapore
A1120,Y22,,Copper Sludge,H12,15.885,,JP,,R4,Singapore
B2040,Y6,,"Multi-Wire Saw Slurry (Silicon Carbide, Dipropylene Glycol)",H13,4161.0,,IT,,"R5,R13",Singapore
B1010,Y23,,EAF Zinc Dust,"H11,H12",1508.48,,KR,,R4,Singapore
A4120,Y15,,Empty Containers Containing (30%-35%) Hydrogen Peroxide Residues,H5.2,19.24,,TH,,R13,Singapore
Y47,,,Incinerator Bottom Ash / Non-Ferrous Metal Concentrate,,17741.66,"GB,ES,FR,DE,GR,EG",NL,,"R4,R5,R12",Singapore
Y47,,,Processed Ash,,1719.92,"GB,ES,FR,DE,GR,EG",NL,,"R5,R12",Singapore
A1010,Y23,10 06 03,"HP6, HP14",H_,777.61,"CZ,DE,NL",BE,,R4,Slovakia
A1010,Y23,10 06 03,"HP6, HP14",H_,1612.55,"CZ,DE",BE,,R4,Slovakia
A1020,Y_,11 01 98,-,H12,286.511,"HU,RO",BG,,R4,Slovakia
A1160,"Y31,Y34",16 06 01,-,"H8,H12",23.12,"HU,RO",BG,,"R4,R12",Slovakia
A1160,"Y31,Y34",16 06 01,-,"H8,H12",1484.763,"HU,RO",BG,,"R3,R4,R5",Slovakia
A1030,Y24,06 04 03,-,"H6.1,H10,H12",10.8,,CZ,,R5,Slovakia
A3140,"Y12,Y42",07 01 04,-,"H3,H4.1,H5.1,H6.1",111.3,,CZ,,R1,Slovakia
,Y17,"10 03 08, 10 03 09",-,H12,97.85,,CZ,,R4,Slovakia
A1180,Y45,"16 02 11, 20 01 23",-,H12,804.6,,CZ,,"R3,R4,R12",Slovakia
A1160,"Y31,Y34","16 06 01, 20 01 33",-,"H8,H12",229.65,,CZ,,R4,Slovakia
A3140,Y6,14 06 03,-,H3,47.483,"CZ,DE",NL,,R2,Slovakia
A1060,Y17,11 01 05,HP8,H_,271.2,,HU,,R4,Slovakia
A4020,Y42,14 06 03,"HP3-HP228, HP14, HP12",H_,28.407,HU,HU,,R2,Slovakia
A4020,Y1,18 01 03,-,H6.2,107.992,,HU,,R1,Slovakia
A1060,Y35,06 02 04,-,H8,569.9,AT,DE,,R5,Slovakia
A3010,Y8,"13 01 10, 13 02 05, 13 02 06, 13 02 08, 13 03 07",HP14,H_,206.23,CZ,DE,,R9,Slovakia
A1050,Y17,19 02 05,-,"H11,H12",20.094,CZ,DE,,R4,Slovakia
A1050,Y17,"19 02 05, 11 01 09",-,"H11,H12",38.592,CZ,DE,,R4,Slovakia
A1030,Y24,06 04 03,-,"H6.1,H10,H12",178.924,CZ,DE,D12,,Slovakia
A1030,Y24,06 04 03,"H6.1, H10, H12",H_,178.924,CZ,DE,D12,,Slovakia
A1130,Y17,11 01 07,"HP6,HP14",H_,21.18,CZ,DE,,R13,Slovakia
A1050,Y17,11 01 09,-,H11,0.375,CZ,DE,,R4,Slovakia
A1050,Y17,11 01 09,-,"H11,H12",218.541,CZ,DE,,R4,Slovakia
A1030,Y17,12 01 18,-,H4.2,19.78,CZ,DE,,R4,Slovakia
A1060,Y17,11 01 05,-,H8,3337.2,CZ,PL,,R5,Slovakia
A4060,Y9,"05 01 03, 05 01 06, 05 01 09",-,"H12,H13",609.24,,AT,D10,,Slovakia
A2030,Y_,16 08 02,,"H6.1,H11,H12",2895.74,,AT,,R4,Slovakia
A1180,"Y31,Y34,Y35","16 02 13, 20 01 35",-,H8,35.4,,AT,,R4,Slovakia
A3160,"Y12,Y42",07 07 08,HP14,H_,98.88,,AT,,R1,Slovakia
A1100,Y23,10 06 03,"HP6, HP14",H_,1182.64,,AT,,R13,Slovakia
"A1180,Y46",,16 02 13,"H15, HP14, HP7","H11,H12",19.6835,,AT,,R4,Slovakia
A1160,Y31,16 06 01,-,"H8,H12",3053.848,HU,RO,,R4,Slovakia
,Y18,19 12 12,-,,232.9,,AT,,R4,Slovakia
,"Y2,Y12",19 02 04*,"Wastes from the production and preparation of pharmaceutical products + Wastes from production, formulation and use of inks,dyes, pigments, paints, lacques, varnish","H4.1,H11,H12",611.0,,AT,D10,,Slovenia
,"Y2,Y12",19 02 04*,"Wastes from the production and preparation of pharmaceutical products + Wastes from production, formulation and use of inks,dyes, pigments, paints, lacques, varnish","H4.1,H12,H13",66.16,"AT,DE",BE,,"R12,R1",Slovenia
,"Y2,Y12",19 02 04*,"Wastes from the production and preparation of pharmaceutical products + Wastes from production, formulation and use of inks,dyes, pigments, paints, lacques, varnish","H4.1,H11",49.54,AT,DE,D10,,Slovenia
,"Y2,Y12",19 02 04*,"Wastes from the production and preparation of pharmaceutical products + Wastes from production, formulation and use of inks,dyes, pigments, paints, lacques, varnish","H4.1,H11,H12",173.0,AT,DE,D10,,Slovenia
,Y5,17 02 04*,"Wastes from the manufacture, formulation and use of wood preserving chemicals",H11,2782.06,,AT,,"R12,R1",Slovenia
,Y5,17 02 04*,"Wastes from the manufacture, formulation and use of wood preserving chemicals",H12,1666.98,,AT,,"R12,R1",Slovenia
,"Y5,Y11",17 02 04*,"Wastes from the manufacture, formulation and use of wood preserving chemicals + Waste tarry resudues arising from refining, distillation and any pyrolytic treatment",H11,983.24,,AT,,"R12,R1",Slovenia
,"Y8,Y18",19 02 04*,Waste mineral oils unfit for their originally intended use + Resudues arising from industrial waste disposal operations,"H11,H12",132.66,,AT,D10,,Slovenia
,"Y8,Y18",19 02 04*,Waste mineral oils unfit for their originally intended use + Resudues arising from industrial waste disposal operations,"H4.1,H11,H12",218.46,,AT,D10,,Slovenia
,"Y8,Y18",19 02 04*,Waste mineral oils unfit for their originally intended use + Resudues arising from industrial waste disposal operations,"H4.1,H10,H12",63.04,AT,DE,D10,,Slovenia
,"Y8,Y9",17 05 03*,"Waste mineral oils unfit for their originally intended use + Waste oils/water, hydrocarbons/water mixtures, emulsions","H3,H11,H12",1081.44,,AT,D8,,Slovenia
,"Y12,Y13",19 02 04*,"Wastes from production, formulation and use of inks,dyes, pigments, paints, lacques, varnish + Wastes from production, formulation and use of resins, latex, plasticizers, glues/adhesives","H4.1,H11,H12",163.8,,AT,D10,,Slovenia
,"Y12,Y18",19 02 04*,"Wastes from production, formulation and use of inks,dyes, pigments, paints, lacques, varnish + Resudues arising from industrial waste disposal operations","H4.1,H11,H12",913.22,AT,DE,D10,,Slovenia
,Y18,19 02 04*,Resudues arising from industrial waste disposal operations,"H11,H12,H13",2262.24,,AT,D10,,Slovenia
,Y18,19 02 04*,Resudues arising from industrial waste disposal operations,"H4.1,H11,H12",243.46,,AT,D10,,Slovenia
,Y18,19 02 09*,Resudues arising from industrial waste disposal operations,"H4.1,H11,H12",2263.76,,AT,,R3,Slovenia
,Y18,19 02 09*,Resudues arising from industrial waste disposal operations,"H4.1,H11,H12",648.38,,AT,D10,,Slovenia
,Y18,19 02 09*,Resudues arising from industrial waste disposal operations,"H4.1,H11,H12",241.0,,AT,"D15,D10",,Slovenia
,Y18,19 02 09*,Resudues arising from industrial waste disposal operations,"H4.1,H11,H12",47.23,AT,DE,,R1,Slovenia
,Y18,19 02 09*,Resudues arising from industrial waste disposal operations,"H4.1,H11,H12",1402.35,,HU,,R1,Slovenia
,Y18,19 02 11*,Resudues arising from industrial waste disposal operations,"H12,H13",1473.26,,AT,D9,,Slovenia
,Y18,19 03 04*,Resudues arising from industrial waste disposal operations,"H11,H12",194.14,,AT,,R5,Slovenia
,Y18,19 03 04*,Resudues arising from industrial waste disposal operations,H12,3889.7,,AT,D9,,Slovenia
,Y18,19 03 04*,Resudues arising from industrial waste disposal operations,H4.1,1477.28,,AT,D10,,Slovenia
,Y18,19 03 04*,Resudues arising from industrial waste disposal operations,"H4.1,H11,H12",458.6,,AT,D10,,Slovenia
,Y18,19 03 04*,Resudues arising from industrial waste disposal operations,"H4.1,H12,H13",514.02,,AT,D10,,Slovenia
,Y18,19 03 06*,Resudues arising from industrial waste disposal operations,"H6.1,H8,H12",444.52,,AT,D9,,Slovenia
,"Y18,Y23",19 02 04*,Resudues arising from industrial waste disposal operations + Zinc compounds,"H4.1,H10,H12",1709.44,AT,DE,D10,,Slovenia
,"Y18,Y23",19 02 04*,Resudues arising from industrial waste disposal operations + Zinc compounds,"H4.1,H6.1,H11",191.13,AT,DE,D10,,Slovenia
,Y32,16 11 01*,Inorganic fluorine compounds excluding calcium fluoride,"H12,H13",635.04,"AT,CZ",PL,,R5,Slovenia
,Y42,15 02 02*,Organic solvents excluding halogenated solvents,H11,1.139,AT,DE,,R4,Slovenia
,Y45,14 06 01*,"Organohalogen compounds other than substances referred to this Annex (eg. Y39, Y41, Y42, Y43, Y44)",H12,1.826,AT,DE,D10,,Slovenia
